sku_id,sku_code,sku_name,category,sub_category,therapeutic_area,brand_generic_flag,formulary_status,unit_of_measure,standard_cost,shelf_life_days,storage_requirements,controlled_substance_flag,halal_certified,base_drug_name,minimum_order_quantity,abc_classification,item_status,last_updated,current_reorder_level,ideal_forecasted_reorder_level,reorder_quantity,lead_time
20,SKU00020,Gliclazide 50mg Tablet (Brand),Pharmacy,Diabetes Management,Diabetes Management,Brand,Formulary,Pack,2325.21,1259,Room_Temp,False,True,Gliclazide,82,A,Active,2025-09-15 05:13:36.506,124,,171,41
21,SKU00021,Insulin Glargine 50mg Injection (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,384.21,714,Room_Temp,False,True,Insulin Glargine,141,A,Active,2025-09-15 05:13:36.506,148,,56,49
22,SKU00022,Metformin 25mg Injection (Brand),Pharmacy,Diabetes Management,Diabetes Management,Brand,Non-Formulary,Pack,1459.4,509,Room_Temp,False,True,Metformin,131,A,Phase Out,2025-09-15 05:13:36.506,138,,24,86
23,SKU00023,Sitagliptin 100mg Syrup (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,106.76,467,Room_Temp,False,True,Sitagliptin,25,B,Active,2025-09-15 05:13:36.506,26,,37,50
24,SKU00024,Metformin 5mg Capsule (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,245.02,410,Room_Temp,False,True,Metformin,38,A,Active,2025-09-15 05:13:36.506,87,,145,70
25,SKU00025,Gliclazide 5mg Capsule (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,400.56,1573,Room_Temp,False,True,Gliclazide,74,A,Active,2025-09-15 05:13:36.506,78,,428,72
26,SKU00026,Sitagliptin 50mg Syrup (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,304.66,979,Room_Temp,False,True,Sitagliptin,147,A,Active,2025-09-15 05:13:36.506,154,,34,60
27,SKU00027,Gliclazide 100mg Capsule (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,320.09,463,Room_Temp,False,True,Gliclazide,138,A,Active,2025-09-15 05:13:36.506,142,,360,34
28,SKU00028,Gliclazide 10mg Injection (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,127.93,608,Room_Temp,False,True,Gliclazide,127,A,Discontinued,2025-09-15 05:13:36.506,133,,67,55
29,SKU00029,Gliclazide 25mg Capsule (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,234.62,739,Room_Temp,False,True,Gliclazide,103,A,Active,2025-09-15 05:13:36.506,122,,195,62
30,SKU00030,Metformin 25mg Injection (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Non-Formulary,Pack,437.54,1735,Room_Temp,False,True,Metformin,87,A,Active,2025-09-15 05:13:36.506,91,,53,42
31,SKU00031,Sitagliptin 100mg Capsule (Brand),Pharmacy,Diabetes Management,Diabetes Management,Brand,Non-Formulary,Pack,634.8,724,Room_Temp,False,True,Sitagliptin,150,A,Active,2025-09-15 05:13:36.506,158,,261,34
32,SKU00032,Sitagliptin 50mg Capsule (Brand),Pharmacy,Diabetes Management,Diabetes Management,Brand,Formulary,Pack,933.4,928,Room_Temp,False,True,Sitagliptin,45,A,Active,2025-09-15 05:13:36.506,103,,370,89
33,SKU00033,Metformin 10mg Injection (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,364.18,1144,Room_Temp,False,True,Metformin,120,A,Active,2025-09-15 05:13:36.506,126,,43,7
34,SKU00034,Insulin Glargine 25mg Capsule (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,322.33,1372,Room_Temp,False,True,Insulin Glargine,82,A,Active,2025-09-15 05:13:36.506,86,,469,49
35,SKU00035,Metformin 5mg Capsule (Brand),Pharmacy,Diabetes Management,Diabetes Management,Brand,Formulary,Pack,293.61,1180,Room_Temp,False,True,Metformin,15,A,Phase Out,2025-09-15 05:13:36.506,47,,339,18
36,SKU00036,Metformin 100mg Injection (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,337.22,401,Room_Temp,False,True,Metformin,45,A,Discontinued,2025-09-15 05:13:36.506,47,,60,44
37,SKU00037,Metformin 100mg Capsule (Brand),Pharmacy,Diabetes Management,Diabetes Management,Brand,Formulary,Pack,1361.69,1240,Room_Temp,False,True,Metformin,78,A,Active,2025-09-15 05:13:36.506,82,,138,20
38,SKU00038,Insulin Glargine 5mg Syrup (Brand),Pharmacy,Diabetes Management,Diabetes Management,Brand,Formulary,Pack,1361.8,1736,Room_Temp,False,True,Insulin Glargine,72,A,Active,2025-09-15 05:13:36.506,76,,19,40
39,SKU00039,Sitagliptin 10mg Capsule (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Non-Formulary,Pack,232.14,1605,Room_Temp,False,True,Sitagliptin,114,A,Active,2025-09-15 05:13:36.506,132,,228,89
40,SKU00040,Insulin Glargine 50mg Capsule (Brand),Pharmacy,Diabetes Management,Diabetes Management,Brand,Formulary,Pack,1712.87,550,Room_Temp,False,True,Insulin Glargine,33,A,Active,2025-09-15 05:13:36.506,142,,210,47
41,SKU00041,Metformin 5mg Capsule (Brand),Pharmacy,Diabetes Management,Diabetes Management,Brand,Non-Formulary,Pack,997.51,1813,Room_Temp,False,True,Metformin,74,A,Active,2025-09-15 05:13:36.506,80,,104,69
42,SKU00042,Insulin Glargine 100mg Capsule (Brand),Pharmacy,Diabetes Management,Diabetes Management,Brand,Formulary,Pack,1649.29,1505,Room_Temp,False,True,Insulin Glargine,76,A,Active,2025-09-15 05:13:36.506,93,,288,57
43,SKU00043,Insulin Glargine 10mg Syrup (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Non-Formulary,Pack,140.81,1513,Room_Temp,False,True,Insulin Glargine,125,A,Active,2025-09-15 05:13:36.506,131,,34,52
44,SKU00044,Sitagliptin 10mg Injection (Brand),Pharmacy,Diabetes Management,Diabetes Management,Brand,Formulary,Pack,602.19,605,Room_Temp,False,True,Sitagliptin,26,A,Active,2025-09-15 05:13:36.506,27,,29,31
45,SKU00045,Insulin Glargine 100mg Capsule (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,41.36,1634,Room_Temp,False,True,Insulin Glargine,57,B,Active,2025-09-15 05:13:36.506,114,,402,28
46,SKU00046,Insulin Glargine 5mg Capsule (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,142.63,1824,Room_Temp,False,True,Insulin Glargine,41,A,Active,2025-09-15 05:13:36.506,125,,476,25
47,SKU00047,Sitagliptin 100mg Injection (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,369.7,996,Room_Temp,False,True,Sitagliptin,57,A,Active,2025-09-15 05:13:36.506,60,,55,23
48,SKU00048,Metformin 25mg Tablet (Brand),Pharmacy,Diabetes Management,Diabetes Management,Brand,Formulary,Pack,1296.42,1200,Room_Temp,False,True,Metformin,50,A,Active,2025-09-15 05:13:36.506,82,,257,8
49,SKU00049,Metformin 100mg Capsule (Brand),Pharmacy,Diabetes Management,Diabetes Management,Brand,Non-Formulary,Pack,243.02,1490,Room_Temp,False,True,Metformin,50,A,Active,2025-09-15 05:13:36.506,116,,262,21
50,SKU00050,Metformin 5mg Tablet (Brand),Pharmacy,Diabetes Management,Diabetes Management,Brand,Formulary,Pack,1954.61,645,Room_Temp,False,True,Metformin,145,A,Active,2025-09-15 05:13:36.506,152,,375,10
51,SKU00051,Sitagliptin 25mg Syrup (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,205.71,429,Room_Temp,False,True,Sitagliptin,111,A,Discontinued,2025-09-15 05:13:36.506,117,,44,36
52,SKU00052,Insulin Glargine 5mg Injection (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Non-Formulary,Pack,390.68,1815,Room_Temp,False,True,Insulin Glargine,99,A,Active,2025-09-15 05:13:36.506,104,,15,76
53,SKU00053,Sitagliptin 5mg Syrup (Brand),Pharmacy,Diabetes Management,Diabetes Management,Brand,Formulary,Pack,867.91,1580,Room_Temp,False,True,Sitagliptin,110,A,Active,2025-09-15 05:13:36.506,116,,390,90
54,SKU00054,Gliclazide 100mg Capsule (Brand),Pharmacy,Diabetes Management,Diabetes Management,Brand,Formulary,Pack,286.26,1089,Room_Temp,False,True,Gliclazide,121,A,Discontinued,2025-09-15 05:13:36.506,127,,114,17
55,SKU00055,Insulin Glargine 100mg Capsule (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,60.3,1381,Room_Temp,False,True,Insulin Glargine,26,B,Active,2025-09-15 05:13:36.506,105,,194,76
56,SKU00056,Gliclazide 25mg Injection (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,40.51,953,Room_Temp,False,True,Gliclazide,136,B,Active,2025-09-15 05:13:36.506,143,,37,29
57,SKU00057,Metformin 5mg Tablet (Brand),Pharmacy,Diabetes Management,Diabetes Management,Brand,Formulary,Pack,337.18,375,Room_Temp,False,True,Metformin,47,A,Active,2025-09-15 05:13:36.506,49,,202,40
58,SKU00058,Gliclazide 5mg Tablet (Brand),Pharmacy,Diabetes Management,Diabetes Management,Brand,Formulary,Pack,630.67,1674,Room_Temp,False,True,Gliclazide,83,A,Discontinued,2025-09-15 05:13:36.506,130,,258,34
59,SKU00059,Sitagliptin 5mg Tablet (Brand),Pharmacy,Diabetes Management,Diabetes Management,Brand,Non-Formulary,Pack,1114.64,451,Room_Temp,False,True,Sitagliptin,115,A,Active,2025-09-15 05:13:36.506,121,,337,28
60,SKU00060,Sitagliptin 50mg Capsule (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,444.81,1699,Room_Temp,False,False,Sitagliptin,132,A,Active,2025-09-15 05:13:36.506,158,,447,53
61,SKU00061,Insulin Glargine 25mg Syrup (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,357.11,425,Room_Temp,False,False,Insulin Glargine,117,A,Active,2025-09-15 05:13:36.506,123,,67,53
62,SKU00062,Insulin Glargine 100mg Injection (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,86.23,655,Room_Temp,False,False,Insulin Glargine,78,B,Active,2025-09-15 05:13:36.506,82,,29,62
63,SKU00063,Gliclazide 5mg Tablet (Brand),Pharmacy,Diabetes Management,Diabetes Management,Brand,Formulary,Pack,1149.34,437,Room_Temp,False,True,Gliclazide,115,A,Active,2025-09-15 05:13:36.506,138,,332,17
64,SKU00064,Gliclazide 25mg Syrup (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,288.56,1569,Room_Temp,False,True,Gliclazide,68,A,Active,2025-09-15 05:13:36.506,71,,49,31
65,SKU00065,Metformin 100mg Injection (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,68.24,1337,Room_Temp,False,True,Metformin,115,B,Active,2025-09-15 05:13:36.506,121,,67,35
66,SKU00066,Insulin Glargine 50mg Capsule (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,294.47,1465,Room_Temp,False,True,Insulin Glargine,62,A,Active,2025-09-15 05:13:36.506,133,,482,61
67,SKU00067,Metformin 25mg Tablet (Brand),Pharmacy,Diabetes Management,Diabetes Management,Brand,Formulary,Pack,1542.0,1335,Room_Temp,False,True,Metformin,86,A,Active,2025-09-15 05:13:36.506,90,,197,37
68,SKU00068,Metformin 100mg Capsule (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,424.78,1390,Room_Temp,False,True,Metformin,94,A,Active,2025-09-15 05:13:36.506,143,,90,23
69,SKU00069,Metformin 50mg Capsule (Brand),Pharmacy,Diabetes Management,Diabetes Management,Brand,Formulary,Pack,751.58,1072,Room_Temp,False,False,Metformin,22,A,Active,2025-09-15 05:13:36.506,65,,367,44
70,SKU00070,Insulin Glargine 10mg Tablet (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,105.82,386,Room_Temp,False,True,Insulin Glargine,35,B,Phase Out,2025-09-15 05:13:36.506,90,,72,23
71,SKU00071,Gliclazide 100mg Tablet (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,84.42,1060,Room_Temp,False,True,Gliclazide,31,B,Active,2025-09-15 05:13:36.506,96,,399,40
72,SKU00072,Insulin Glargine 10mg Capsule (Brand),Pharmacy,Diabetes Management,Diabetes Management,Brand,Formulary,Pack,635.89,889,Room_Temp,False,True,Insulin Glargine,119,A,Active,2025-09-15 05:13:36.506,125,,391,16
73,SKU00073,Insulin Glargine 10mg Injection (Brand),Pharmacy,Diabetes Management,Diabetes Management,Brand,Formulary,Pack,313.94,473,Room_Temp,False,True,Insulin Glargine,75,A,Active,2025-09-15 05:13:36.506,79,,24,10
74,SKU00074,Sitagliptin 50mg Tablet (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,427.5,565,Room_Temp,False,True,Sitagliptin,51,A,Active,2025-09-15 05:13:36.506,130,,118,11
75,SKU00075,Insulin Glargine 50mg Tablet (Brand),Pharmacy,Diabetes Management,Diabetes Management,Brand,Formulary,Pack,1139.67,1337,Room_Temp,False,True,Insulin Glargine,96,A,Active,2025-09-15 05:13:36.506,101,,400,42
76,SKU00076,Sitagliptin 50mg Syrup (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,163.65,1806,Room_Temp,False,True,Sitagliptin,33,A,Active,2025-09-15 05:13:36.506,35,,25,72
77,SKU00077,Gliclazide 25mg Syrup (Brand),Pharmacy,Diabetes Management,Diabetes Management,Brand,Formulary,Pack,189.05,980,Room_Temp,False,True,Gliclazide,103,A,Phase Out,2025-09-15 05:13:36.506,115,,397,7
78,SKU00078,Sitagliptin 100mg Syrup (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,325.81,515,Room_Temp,False,True,Sitagliptin,64,A,Active,2025-09-15 05:13:36.506,67,,49,20
79,SKU00079,Insulin Glargine 5mg Tablet (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,173.07,1544,Room_Temp,False,True,Insulin Glargine,69,B,Active,2025-09-15 05:13:36.506,142,,374,31
80,SKU00080,Sitagliptin 50mg Syrup (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Non-Formulary,Pack,226.92,1168,Room_Temp,False,True,Sitagliptin,106,A,Active,2025-09-15 05:13:36.506,111,,47,44
81,SKU00081,Gliclazide 50mg Tablet (Brand),Pharmacy,Diabetes Management,Diabetes Management,Brand,Formulary,Pack,281.76,1276,Room_Temp,False,True,Gliclazide,53,A,Active,2025-09-15 05:13:36.506,56,,370,34
82,SKU00082,Insulin Glargine 5mg Syrup (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,230.23,1819,Room_Temp,False,True,Insulin Glargine,79,A,Active,2025-09-15 05:13:36.506,83,,32,66
83,SKU00083,Metformin 10mg Capsule (Brand),Pharmacy,Diabetes Management,Diabetes Management,Brand,Formulary,Pack,891.29,761,Room_Temp,False,True,Metformin,148,A,Active,2025-09-15 05:13:36.506,155,,142,39
84,SKU00084,Gliclazide 5mg Syrup (Brand),Pharmacy,Diabetes Management,Diabetes Management,Brand,Formulary,Pack,1413.25,723,Room_Temp,False,True,Gliclazide,42,A,Active,2025-09-15 05:13:36.506,130,,110,82
85,SKU00085,Gliclazide 50mg Tablet (Brand),Pharmacy,Diabetes Management,Diabetes Management,Brand,Formulary,Pack,895.06,1663,Room_Temp,False,True,Gliclazide,111,A,Discontinued,2025-09-15 05:13:36.506,117,,190,29
86,SKU00086,Insulin Glargine 25mg Capsule (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,400.92,434,Room_Temp,False,True,Insulin Glargine,54,A,Active,2025-09-15 05:13:36.506,105,,321,45
87,SKU00087,Metformin 5mg Injection (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,246.34,402,Room_Temp,False,False,Metformin,86,A,Active,2025-09-15 05:13:36.506,90,,38,44
88,SKU00088,Gliclazide 100mg Capsule (Brand),Pharmacy,Diabetes Management,Diabetes Management,Brand,Non-Formulary,Pack,2006.23,1154,Room_Temp,False,True,Gliclazide,41,A,Active,2025-09-15 05:13:36.506,90,,334,51
89,SKU00089,Gliclazide 5mg Injection (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,78.83,1421,Room_Temp,False,True,Gliclazide,40,B,Active,2025-09-15 05:13:36.506,42,,48,47
90,SKU00090,Metformin 5mg Tablet (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,342.65,805,Room_Temp,False,True,Metformin,129,A,Active,2025-09-15 05:13:36.506,135,,247,25
91,SKU00091,Sitagliptin 25mg Syrup (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,170.77,1658,Room_Temp,False,True,Sitagliptin,34,A,Active,2025-09-15 05:13:36.506,36,,36,19
92,SKU00092,Metformin 25mg Injection (Brand),Pharmacy,Diabetes Management,Diabetes Management,Brand,Formulary,Pack,1163.1,1301,Room_Temp,False,False,Metformin,89,A,Active,2025-09-15 05:13:36.506,93,,38,85
93,SKU00093,Sitagliptin 10mg Capsule (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,131.47,877,Room_Temp,False,True,Sitagliptin,74,A,Active,2025-09-15 05:13:36.506,116,,338,12
94,SKU00094,Metformin 10mg Syrup (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,133.34,1235,Room_Temp,False,True,Metformin,129,B,Active,2025-09-15 05:13:36.506,135,,214,41
95,SKU00095,Metformin 5mg Tablet (Brand),Pharmacy,Diabetes Management,Diabetes Management,Brand,Formulary,Pack,665.92,1793,Room_Temp,False,True,Metformin,137,A,Active,2025-09-15 05:13:36.506,144,,383,74
96,SKU00096,Metformin 100mg Injection (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,32.22,1529,Room_Temp,False,True,Metformin,66,C,Active,2025-09-15 05:13:36.506,69,,41,70
97,SKU00097,Gliclazide 5mg Injection (Brand),Pharmacy,Diabetes Management,Diabetes Management,Brand,Formulary,Pack,261.54,603,Room_Temp,False,True,Gliclazide,88,A,Active,2025-09-15 05:13:36.506,92,,55,81
98,SKU00098,Metformin 25mg Tablet (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,132.21,1113,Room_Temp,False,True,Metformin,57,A,Phase Out,2025-09-15 05:13:36.506,131,,434,19
99,SKU00099,Gliclazide 10mg Syrup (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,277.43,1507,Room_Temp,False,False,Gliclazide,27,A,Active,2025-09-15 05:13:36.506,28,,25,77
100,SKU00100,Metformin 50mg Injection (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,150.59,1163,Room_Temp,False,True,Metformin,121,B,Active,2025-09-15 05:13:36.506,127,,55,38
101,SKU00101,Sitagliptin 100mg Tablet (Brand),Pharmacy,Diabetes Management,Diabetes Management,Brand,Formulary,Pack,799.72,380,Room_Temp,False,True,Sitagliptin,10,A,Active,2025-09-15 05:13:36.506,51,,274,47
102,SKU00102,Metformin 50mg Tablet (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,294.56,445,Room_Temp,False,True,Metformin,54,A,Active,2025-09-15 05:13:36.506,57,,205,17
103,SKU00103,Insulin Glargine 10mg Injection (Brand),Pharmacy,Diabetes Management,Diabetes Management,Brand,Formulary,Pack,191.08,1491,Room_Temp,False,True,Insulin Glargine,25,A,Active,2025-09-15 05:13:36.506,26,,20,11
104,SKU00104,Sitagliptin 50mg Tablet (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,423.6,1278,Room_Temp,False,True,Sitagliptin,79,A,Discontinued,2025-09-15 05:13:36.506,83,,91,34
105,SKU00105,Metformin 100mg Tablet (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,268.37,1239,Room_Temp,False,False,Metformin,95,A,Active,2025-09-15 05:13:36.506,130,,113,89
106,SKU00106,Gliclazide 25mg Syrup (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,282.7,451,Room_Temp,False,False,Gliclazide,137,A,Discontinued,2025-09-15 05:13:36.506,144,,32,33
107,SKU00107,Gliclazide 25mg Tablet (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,251.58,1521,Room_Temp,False,True,Gliclazide,112,A,Active,2025-09-15 05:13:36.506,150,,169,16
108,SKU00108,Sitagliptin 50mg Syrup (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,224.72,1691,Room_Temp,False,True,Sitagliptin,125,A,Active,2025-09-15 05:13:36.506,131,,36,22
109,SKU00109,Sitagliptin 25mg Tablet (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,182.07,416,Room_Temp,False,True,Sitagliptin,70,A,Active,2025-09-15 05:13:36.506,91,,156,18
110,SKU00110,Sitagliptin 5mg Tablet (Brand),Pharmacy,Diabetes Management,Diabetes Management,Brand,Formulary,Pack,596.74,425,Room_Temp,False,True,Sitagliptin,45,A,Active,2025-09-15 05:13:36.506,96,,158,41
111,SKU00111,Sitagliptin 5mg Injection (Brand),Pharmacy,Diabetes Management,Diabetes Management,Brand,Formulary,Pack,1472.04,977,Room_Temp,False,True,Sitagliptin,84,A,Active,2025-09-15 05:13:36.506,88,,47,84
1067,SKU01067,IV Catheters - Large,Consumables,IV/Injection Supplies,Medical_supplies,Not Applicable,Not Applicable,Package,7.38,1086,Room_Temp,False,True,Not a Drug,282,C,Active,2025-09-15 05:13:36.506,296,,548,86
112,SKU00112,Sitagliptin 25mg Injection (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,430.59,1660,Room_Temp,False,True,Sitagliptin,53,A,Active,2025-09-15 05:13:36.506,56,,33,58
113,SKU00113,Insulin Glargine 50mg Syrup (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,59.88,540,Room_Temp,False,True,Insulin Glargine,136,B,Active,2025-09-15 05:13:36.506,143,,24,56
114,SKU00114,Sitagliptin 5mg Capsule (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,37.06,490,Room_Temp,False,True,Sitagliptin,49,C,Active,2025-09-15 05:13:36.506,54,,482,75
115,SKU00115,Metformin 25mg Capsule (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,52.83,1014,Room_Temp,False,True,Metformin,146,B,Active,2025-09-15 05:13:36.506,153,,129,25
116,SKU00116,Gliclazide 10mg Tablet (Brand),Pharmacy,Diabetes Management,Diabetes Management,Brand,Non-Formulary,Pack,455.82,1054,Room_Temp,False,True,Gliclazide,100,A,Active,2025-09-15 05:13:36.506,105,,136,86
117,SKU00117,Sitagliptin 25mg Syrup (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,287.97,1425,Room_Temp,False,True,Sitagliptin,110,A,Discontinued,2025-09-15 05:13:36.506,116,,24,69
118,SKU00118,Insulin Glargine 100mg Tablet (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,147.61,1225,Room_Temp,False,True,Insulin Glargine,110,A,Active,2025-09-15 05:13:36.506,116,,129,33
119,SKU00119,Metformin 50mg Tablet (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,66.3,1243,Room_Temp,False,True,Metformin,83,B,Active,2025-09-15 05:13:36.506,87,,390,78
120,SKU00120,Sitagliptin 100mg Capsule (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,154.95,394,Room_Temp,False,True,Sitagliptin,115,A,Discontinued,2025-09-15 05:13:36.506,121,,276,14
121,SKU00121,Metformin 100mg Capsule (Brand),Pharmacy,Diabetes Management,Diabetes Management,Brand,Formulary,Pack,299.23,1354,Room_Temp,False,True,Metformin,85,A,Active,2025-09-15 05:13:36.506,136,,83,21
122,SKU00122,Gliclazide 10mg Capsule (Brand),Pharmacy,Diabetes Management,Diabetes Management,Brand,Formulary,Pack,1457.81,1295,Room_Temp,False,True,Gliclazide,123,A,Active,2025-09-15 05:13:36.506,129,,166,77
123,SKU00123,Gliclazide 10mg Tablet (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Formulary,Pack,36.51,1578,Room_Temp,False,True,Gliclazide,88,B,Active,2025-09-15 05:13:36.506,92,,516,31
124,SKU00124,Sitagliptin 10mg Syrup (Generic),Pharmacy,Diabetes Management,Diabetes Management,Generic,Non-Formulary,Pack,357.03,1728,Room_Temp,False,True,Sitagliptin,49,A,Active,2025-09-15 05:13:36.506,51,,24,32
